year,month,day,hour,minute,kwm2,temp,rh,pressure_Hg,windspeed_mph,precipitation_in
1999,6,1,0,5,0.12,25.32,93.4,29.86,9,
1999,6,1,0,10,0.08,25.27,93.4,29.84,11,0
1999,6,1,0,15,0.07,25.21,93.8,,13,
1999,6,1,0,20,0.06,25.14,93.7,,11,
1999,6,1,0,25,0.07,25.12,94,29.82,11,0
1999,6,1,0,30,0.09,25.08,94,,13,
1999,6,1,0,35,0.04,25.03,93.9,29.78,13,0
1999,6,1,0,40,0.04,25.03,93.8,29.78,10,0
1999,6,1,0,45,0.05,25.04,93.7,29.8,9,0
1999,6,1,0,50,0.07,25.05,93.5,,7,
1999,6,1,0,55,0.07,25.07,93.5,29.82,7,0
1999,6,1,1,0,0.09,25.03,93.5,,8,
1999,6,1,1,5,0.07,24.97,93.8,29.82,9,0
1999,6,1,1,10,0.06,24.95,94.2,,13,
1999,6,1,1,15,0.07,24.94,94.2,,11,
1999,6,1,1,20,0.09,24.87,94.5,29.84,14,0
1999,6,1,1,25,0.04,24.85,94.3,,10,
1999,6,1,1,30,0.06,24.85,94.3,29.85,15,0
1999,6,1,1,35,0.03,24.87,93.7,29.85,14,0
1999,6,1,1,40,0.06,24.83,93.5,29.83,13,0
1999,6,1,1,45,0.04,24.86,93.2,29.84,15,0
1999,6,1,1,50,0.04,24.85,93.2,29.81,13,0
1999,6,1,1,55,0.03,24.84,93.1,29.78,18,0
1999,6,1,2,0,0,24.84,93,29.77,16,0
1999,6,1,2,5,0.04,24.86,92.8,29.76,17,0
1999,6,1,2,10,0.04,24.79,93.1,29.75,18,0
1999,6,1,2,15,0.02,24.8,92.8,29.75,10,0
1999,6,1,2,20,0.02,24.78,92.8,29.75,13,0
1999,6,1,2,25,0.04,24.79,92.8,29.78,9,0
1999,6,1,2,30,0.04,24.77,92.9,29.81,11,0
1999,6,1,2,35,0.05,24.77,93.1,29.86,10,0
1999,6,1,2,40,0.04,24.78,93.4,29.88,8,0
1999,6,1,2,45,0.06,24.79,93.2,,9,
1999,6,1,2,50,0.07,24.79,93.3,,,
1999,6,1,2,55,0.03,24.77,93.8,29.88,9,0
1999,6,1,3,0,0.05,24.74,94,29.88,9,0
1999,6,1,3,5,0.02,24.71,93.9,29.87,8,0
1999,6,1,3,10,0.06,24.68,93.7,29.87,13,0
1999,6,1,3,15,0.05,24.75,93.5,29.86,11,0
1999,6,1,3,20,0.06,24.77,93.3,29.88,10,0
1999,6,1,3,25,0.04,24.75,93.1,,7,
1999,6,1,3,30,0.04,24.77,93.4,,6,
1999,6,1,3,35,0.03,24.79,93.3,29.92,6,0
1999,6,1,3,40,0.07,24.73,93.5,,8,
1999,6,1,3,45,0.04,24.76,93.7,,8,
1999,6,1,3,50,0.03,24.77,93.6,29.93,8,0
1999,6,1,3,55,0.09,24.75,93.5,,10,
1999,6,1,4,0,0.05,24.8,93.2,29.96,13,0
1999,6,1,4,5,0.06,24.84,92.3,,13,
1999,6,1,4,10,0.04,24.86,92.2,29.97,15,0
1999,6,1,4,15,0.04,24.88,91.7,29.97,14,0
1999,6,1,4,20,0.07,24.94,91.6,29.98,10,0
1999,6,1,4,25,0.04,24.94,91.6,29.98,10,0
1999,6,1,4,30,0.06,24.94,91.5,,14,
1999,6,1,4,35,0.02,24.91,91.5,29.94,13,0
1999,6,1,4,40,0.04,24.91,91.9,29.93,13,0
1999,6,1,4,45,0.04,24.93,92,29.92,13,0
1999,6,1,4,50,0.05,24.87,91.6,29.91,13,0
1999,6,1,4,55,0.02,24.85,91.9,29.91,11,0
1999,6,1,5,0,0.03,24.83,91.9,29.92,8,0
1999,6,1,5,5,0.04,24.8,91.9,29.9,13,0
1999,6,1,5,10,0.07,24.79,91.9,29.91,14,0
1999,6,1,5,15,0.18,24.78,92.1,29.94,10,0
1999,6,1,5,20,0.49,24.74,92,29.97,9,0
1999,6,1,5,25,1.16,24.7,92.2,29.96,5,0
1999,6,1,5,30,1.87,24.68,92.3,,,
1999,6,1,5,35,3.54,24.65,92.4,29.96,8,0
1999,6,1,5,40,6.78,24.63,92.5,29.95,9,0
1999,6,1,5,45,13.63,24.61,92.7,,7,
1999,6,1,5,50,21.56,24.55,92.8,,8,
1999,6,1,5,55,28.63,24.52,92.9,29.94,8,0
1999,6,1,6,0,31.53,24.56,92.8,29.95,11,0
1999,6,1,6,5,36.92,24.56,92.7,29.95,14,0
1999,6,1,6,10,38.27,24.53,92.8,29.95,15,0
1999,6,1,6,15,35.06,24.5,93,,10,
1999,6,1,6,20,39.63,24.49,93.1,29.98,10,0
1999,6,1,6,25,56.27,24.5,93.3,29.98,10,0
1999,6,1,6,30,65.33,24.54,93.1,,11,
1999,6,1,6,35,69.24,24.51,92.7,,13,
1999,6,1,6,40,60.01,24.51,92.9,29.99,13,0
1999,6,1,6,45,71,24.55,92.7,,14,
1999,6,1,6,50,62.02,24.47,92.5,30,11,0
1999,6,1,6,55,61.84,24.48,92.7,,13,
1999,6,1,7,0,77.3,24.56,91.9,30.01,16,0
1999,6,1,7,5,103.1,24.61,91.2,30.01,13,0
1999,6,1,7,10,139.9,24.69,90.8,30.01,11,0
1999,6,1,7,15,112.6,24.73,90.2,29.98,14,0
1999,6,1,7,20,147.8,24.75,89.5,29.97,10,0
1999,6,1,7,25,158.5,24.81,88.6,29.95,17,0
1999,6,1,7,30,228.5,24.94,87.4,29.93,17,0
1999,6,1,7,35,198.8,25.03,86.9,29.93,14,0
1999,6,1,7,40,239.7,25.11,86.9,29.95,10,0
1999,6,1,7,45,271.2,25.27,85.7,29.94,13,0
1999,6,1,7,50,239.2,25.38,84,29.95,8,0
1999,6,1,7,55,205.8,25.43,83.7,29.96,9,0
1999,6,1,8,0,366.5,25.47,83.7,29.97,9,0
1999,6,1,8,5,373.7,25.69,82.7,29.98,8,0
1999,6,1,8,10,403.5,25.98,81.1,,,
1999,6,1,8,15,541.9,26.37,79.4,29.99,8,0
1999,6,1,8,20,275.3,26.49,78.9,,9,
1999,6,1,8,25,204.7,26.22,80,29.96,11,0
1999,6,1,8,30,189.8,25.89,80.7,,10,
1999,6,1,8,35,155.2,25.66,81.7,29.96,13,0
1999,6,1,8,40,326.6,25.76,80.9,,13,
1999,6,1,8,45,493.6,25.95,79.9,29.96,11,0
1999,6,1,8,50,512.7,26.35,78.5,29.96,10,0
1999,6,1,8,55,605.4,26.64,77.1,29.96,10,0
1999,6,1,9,0,609.5,26.85,76.6,,9,
1999,6,1,9,5,663.1,27.19,75.3,29.98,9,0
1999,6,1,9,10,624.6,27.55,73.9,29.97,13,0
1999,6,1,9,15,633,27.8,73.3,29.97,15,0
1999,6,1,9,20,669.5,27.81,73,29.97,19,0
1999,6,1,9,25,717,27.82,73,29.97,16,0
1999,6,1,9,30,741,27.87,72.7,29.97,14,0
1999,6,1,9,35,677,28,71.4,29.96,14,0
1999,6,1,9,40,666,28.08,70.6,29.92,13,0
1999,6,1,9,45,724,28.21,67.93,29.9,14,0
1999,6,1,9,50,727,28.23,66.86,29.88,15,0
1999,6,1,9,55,737,28.28,65.56,29.86,15,0
