%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1999 152 2 35 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 93.10 24.77 101.12 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 2 40 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 93.40 24.78 101.19 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 2 45 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 93.20 24.79 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 2 50 -999.00 -999.00 -999.00 -999.00 -999.00 99999.00 93.30 24.79 99999.00 99999.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 2 55 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 93.80 24.77 101.19 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.02 94.00 24.74 101.19 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 5 -999.00 -999.00 -999.00 -999.00 -999.00 3.58 93.90 24.71 101.15 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 10 -999.00 -999.00 -999.00 -999.00 -999.00 5.81 93.70 24.68 101.15 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 15 -999.00 -999.00 -999.00 -999.00 -999.00 4.92 93.50 24.75 101.12 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
1999 152 3 20 -999.00 -999.00 -999.00 -999.00 -999.00 4.47 93.30 24.77 101.19 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
