Species,Common Name,average mature height,Growth,growth_rate,Size Classification,crown_1_year,crown_5_years,Low Spread,High Spread,0
Taxodium mucronatum,Montezuma cypress,70,Rapid,24,large,,,25,35,
Quercus muehlenbergii,Chinquapin Oak,45,Moderate,18,large,,,50,70,
Quercus polymorpha,Mexican Oak,50,Moderate,18,large,,,60,60,
Ulmus crassifolia,Cedar Elm,60,Slow,12,large,,,40,60,
Ficus carica,Fig,17.5,Moderate,18,small ,,,10,20,
Cercis canadensis var. Texensis,Texas redbud,17.5,Moderate,18,small ,,,15,25,
Sophora affinis,Eve's Necklace,20,Moderate,18,small,,,15,20,
Sophora secundiflora,Texas mountain laurel,17.5,Slow,12,small,,,10,12,
